ite 0, loss is 540.9566040039062
ite 1, loss is 1053.587158203125
ite 2, loss is 544.6634521484375
ite 3, loss is 386.2540588378906
ite 4, loss is 349.002685546875
ite 5, loss is 337.3116760253906
ite 6, loss is 321.3516845703125
ite 7, loss is 306.2550048828125
ite 8, loss is 291.6124572753906
ite 9, loss is 275.3448791503906
ite 10, loss is 259.1644287109375
ite 11, loss is 246.93728637695312
ite 12, loss is 239.63050842285156
ite 13, loss is 232.03749084472656
ite 14, loss is 223.80174255371094
ite 15, loss is 215.50381469726562
ite 16, loss is 207.3181915283203
ite 17, loss is 199.956298828125
ite 18, loss is 193.83389282226562
ite 19, loss is 188.68899536132812
ite 20, loss is 184.0193634033203
ite 21, loss is 179.56399536132812
ite 22, loss is 175.20591735839844
ite 23, loss is 170.94699096679688
ite 24, loss is 166.72702026367188
ite 25, loss is 162.28079223632812
ite 26, loss is 157.56427001953125
ite 27, loss is 152.87274169921875
ite 28, loss is 148.59750366210938
ite 29, loss is 144.95179748535156
ite 30, loss is 141.79580688476562
ite 31, loss is 138.82424926757812
ite 32, loss is 135.8770294189453
ite 33, loss is 132.98023986816406
ite 34, loss is 130.23316955566406
ite 35, loss is 127.64427185058594
ite 36, loss is 125.13297271728516
ite 37, loss is 122.66028594970703
ite 38, loss is 120.28023529052734
ite 39, loss is 118.0968017578125
ite 40, loss is 116.14918518066406
ite 41, loss is 114.37708282470703
ite 42, loss is 112.68018341064453
ite 43, loss is 110.98672485351562
ite 44, loss is 109.28303527832031
ite 45, loss is 107.6217269897461
ite 46, loss is 106.0648193359375
ite 47, loss is 104.63599395751953
ite 48, loss is 103.31107330322266
ite 49, loss is 102.05726623535156
ite 50, loss is 100.84465026855469
ite 51, loss is 99.65946960449219
ite 52, loss is 98.4930191040039
ite 53, loss is 97.36078643798828
ite 54, loss is 96.28169250488281
ite 55, loss is 95.26705932617188
ite 56, loss is 94.30640411376953
ite 57, loss is 93.38483428955078
ite 58, loss is 92.49148559570312
ite 59, loss is 91.62489318847656
ite 60, loss is 90.78983306884766
ite 61, loss is 89.98810577392578
ite 62, loss is 89.22374725341797
ite 63, loss is 88.49673461914062
ite 64, loss is 87.80268859863281
ite 65, loss is 87.12639617919922
ite 66, loss is 86.455810546875
ite 67, loss is 85.79229736328125
ite 68, loss is 85.15126037597656
ite 69, loss is 84.54039001464844
ite 70, loss is 83.96028900146484
ite 71, loss is 83.40135192871094
ite 72, loss is 82.85885620117188
ite 73, loss is 82.33035278320312
ite 74, loss is 81.81856536865234
ite 75, loss is 81.3221664428711
ite 76, loss is 80.8402099609375
ite 77, loss is 80.37057495117188
ite 78, loss is 79.91283416748047
ite 79, loss is 79.4665298461914
ite 80, loss is 79.03279876708984
ite 81, loss is 78.61304473876953
ite 82, loss is 78.20756530761719
ite 83, loss is 77.81522369384766
ite 84, loss is 77.43312072753906
ite 85, loss is 77.05992889404297
ite 86, loss is 76.69450378417969
ite 87, loss is 76.33797454833984
ite 88, loss is 75.9925537109375
ite 89, loss is 75.65818786621094
ite 90, loss is 75.33186340332031
ite 91, loss is 75.01142120361328
ite 92, loss is 74.69818115234375
ite 93, loss is 74.39250183105469
ite 94, loss is 74.09296417236328
ite 95, loss is 73.79796600341797
ite 96, loss is 73.50756072998047
ite 97, loss is 73.22236633300781
ite 98, loss is 72.9424819946289
ite 99, loss is 72.66690063476562
ite 100, loss is 72.39617919921875
ite 101, loss is 72.12931823730469
ite 102, loss is 71.86498260498047
ite 103, loss is 71.60187530517578
ite 104, loss is 71.3402328491211
ite 105, loss is 71.08055114746094
ite 106, loss is 70.82246398925781
ite 107, loss is 70.56665802001953
ite 108, loss is 70.3127212524414
ite 109, loss is 70.05970764160156
ite 110, loss is 69.8068618774414
ite 111, loss is 69.55464935302734
ite 112, loss is 69.30376434326172
ite 113, loss is 69.05306243896484
ite 114, loss is 68.8027572631836
ite 115, loss is 68.55184173583984
ite 116, loss is 68.29792022705078
ite 117, loss is 68.04157257080078
ite 118, loss is 67.78511047363281
ite 119, loss is 67.52586364746094
ite 120, loss is 67.2657241821289
ite 121, loss is 67.0023193359375
ite 122, loss is 66.73582458496094
ite 123, loss is 66.46581268310547
ite 124, loss is 66.19056701660156
ite 125, loss is 65.91159057617188
ite 126, loss is 65.63001251220703
ite 127, loss is 65.34480285644531
ite 128, loss is 65.05316925048828
ite 129, loss is 64.75606536865234
ite 130, loss is 64.45567321777344
ite 131, loss is 64.15263366699219
ite 132, loss is 63.84357833862305
ite 133, loss is 63.5297737121582
ite 134, loss is 63.20639419555664
ite 135, loss is 62.878265380859375
ite 136, loss is 62.54718780517578
ite 137, loss is 62.21128463745117
ite 138, loss is 61.86996841430664
ite 139, loss is 61.527652740478516
ite 140, loss is 61.180843353271484
ite 141, loss is 60.82897186279297
ite 142, loss is 60.4732666015625
ite 143, loss is 60.12037658691406
ite 144, loss is 59.80562210083008
ite 145, loss is 59.66497802734375
ite 146, loss is 59.76881790161133
ite 147, loss is 59.470638275146484
ite 148, loss is 58.4160270690918
ite 149, loss is 58.37192916870117
ite 150, loss is 57.98118591308594
ite 151, loss is 57.27366256713867
ite 152, loss is 56.971920013427734
ite 153, loss is 56.7392578125
ite 154, loss is 55.9849739074707
ite 155, loss is 55.59395217895508
ite 156, loss is 55.34371566772461
ite 157, loss is 54.771602630615234
ite 158, loss is 54.4477653503418
ite 159, loss is 54.42621994018555
ite 160, loss is 55.260860443115234
ite 161, loss is 56.54905700683594
ite 162, loss is 53.96785354614258
ite 163, loss is 53.78031921386719
ite 164, loss is 53.414398193359375
ite 165, loss is 52.5445442199707
ite 166, loss is 52.15931701660156
ite 167, loss is 51.78009033203125
ite 168, loss is 51.02651596069336
ite 169, loss is 50.90962219238281
ite 170, loss is 50.174072265625
ite 171, loss is 49.83336639404297
ite 172, loss is 49.3129768371582
ite 173, loss is 48.994300842285156
ite 174, loss is 48.57038879394531
ite 175, loss is 48.163719177246094
ite 176, loss is 47.743919372558594
ite 177, loss is 47.20536422729492
ite 178, loss is 46.87153244018555
ite 179, loss is 46.69124221801758
ite 180, loss is 46.3033447265625
ite 181, loss is 46.27686309814453
ite 182, loss is 46.671661376953125
ite 183, loss is 46.79692840576172
ite 184, loss is 46.620941162109375
ite 185, loss is 45.54619598388672
ite 186, loss is 44.945884704589844
ite 187, loss is 45.09647750854492
ite 188, loss is 44.75375747680664
