ite 0, loss is 540.9566040039062
ite 1, loss is 1052.511962890625
ite 2, loss is 544.9859619140625
ite 3, loss is 395.1366271972656
ite 4, loss is 387.05230712890625
ite 5, loss is 333.4393005371094
ite 6, loss is 322.04833984375
ite 7, loss is 310.24468994140625
ite 8, loss is 294.550048828125
ite 9, loss is 277.1319274902344
ite 10, loss is 262.3371887207031
ite 11, loss is 251.42674255371094
ite 12, loss is 242.20452880859375
ite 13, loss is 233.8866424560547
ite 14, loss is 226.14425659179688
ite 15, loss is 218.23487854003906
ite 16, loss is 210.06333923339844
ite 17, loss is 202.90382385253906
ite 18, loss is 197.562744140625
ite 19, loss is 193.32350158691406
ite 20, loss is 188.92257690429688
ite 21, loss is 184.09817504882812
ite 22, loss is 179.0758514404297
ite 23, loss is 174.0833740234375
ite 24, loss is 169.21983337402344
ite 25, loss is 164.69796752929688
ite 26, loss is 160.77294921875
ite 27, loss is 157.44117736816406
ite 28, loss is 154.2476806640625
ite 29, loss is 150.60784912109375
ite 30, loss is 146.5229949951172
ite 31, loss is 142.57518005371094
ite 32, loss is 139.3319854736328
ite 33, loss is 136.77076721191406
ite 34, loss is 134.4781951904297
ite 35, loss is 132.0968780517578
ite 36, loss is 129.62281799316406
ite 37, loss is 127.27826690673828
ite 38, loss is 125.22505187988281
ite 39, loss is 123.36640930175781
ite 40, loss is 121.50048828125
ite 41, loss is 119.551025390625
ite 42, loss is 117.6065444946289
ite 43, loss is 115.77241516113281
ite 44, loss is 114.05770111083984
ite 45, loss is 112.4134292602539
ite 46, loss is 110.79735565185547
ite 47, loss is 109.24806213378906
ite 48, loss is 107.82184600830078
ite 49, loss is 106.5130844116211
ite 50, loss is 105.24639129638672
ite 51, loss is 103.95703887939453
ite 52, loss is 102.67443084716797
ite 53, loss is 101.45384216308594
ite 54, loss is 100.30342102050781
ite 55, loss is 99.19174194335938
ite 56, loss is 98.10274505615234
ite 57, loss is 97.06365966796875
ite 58, loss is 96.09765625
ite 59, loss is 95.18289184570312
ite 60, loss is 94.26832580566406
ite 61, loss is 93.33667755126953
ite 62, loss is 92.43437194824219
ite 63, loss is 91.59712219238281
ite 64, loss is 90.81208038330078
ite 65, loss is 90.04657745361328
ite 66, loss is 89.2946548461914
ite 67, loss is 88.57098388671875
ite 68, loss is 87.87969970703125
ite 69, loss is 87.20918273925781
ite 70, loss is 86.55504608154297
ite 71, loss is 85.92701721191406
ite 72, loss is 85.33686828613281
ite 73, loss is 84.76691436767578
ite 74, loss is 84.20318603515625
ite 75, loss is 83.65198516845703
ite 76, loss is 83.12446594238281
ite 77, loss is 82.6197280883789
ite 78, loss is 82.12520599365234
ite 79, loss is 81.64015197753906
ite 80, loss is 81.17337036132812
ite 81, loss is 80.72689056396484
ite 82, loss is 80.29035186767578
ite 83, loss is 79.8598861694336
ite 84, loss is 79.44041442871094
ite 85, loss is 79.0330581665039
